name,national_team,club,league,style_fit,age_score,tournament_perf,tps_static,tps_live,top3_clubs,tps_rank,tournament_goals,tournament_assists,tournament_minutes
Alfie Jones,Canada,Middlesbrough,Outside Top 5,,0.6067,0.0,12.13,12.13,RB Leipzig (Bundesliga): 0.963 | Real Sociedad (La Liga): 0.917,640,0,0,0
Joel Waterman,Canada,Chicago Fire,Outside Top 5,,0.6067,0.0,12.13,12.13,RB Leipzig (Bundesliga): 0.963 | Real Sociedad (La Liga): 0.917,640,0,0,0
Mathieu Choiniere,Canada,LAFC,Outside Top 5,,0.6067,0.0,12.13,12.13,RB Leipzig (Bundesliga): 0.963 | Real Sociedad (La Liga): 0.917,640,0,0,0
Ismail Jakobs,Senegal,Galatasaray,Outside Top 5,,0.6067,0.0,12.13,12.13,Borussia Dortmund (Bundesliga): 0.958 | Atletico Madrid (La Liga): 0.952,640,0,0,0
Jonathan Osorio,Canada,Toronto,Outside Top 5,,0.6067,0.0,12.13,12.13,RB Leipzig (Bundesliga): 0.963 | Real Sociedad (La Liga): 0.917,640,0,0,0
Maxime Crepeau,Canada,Orlando City,Outside Top 5,,0.6067,0.0,12.13,12.13,RB Leipzig (Bundesliga): 0.963 | Real Sociedad (La Liga): 0.917,640,0,0,0
Niko Sigur,Canada,Hajduk Split,Outside Top 5,,0.6067,0.0,12.13,12.13,RB Leipzig (Bundesliga): 0.963 | Real Sociedad (La Liga): 0.917,640,0,0,0
Liam Millar,Canada,Hull City,Outside Top 5,,0.6067,0.0,12.13,12.13,RB Leipzig (Bundesliga): 0.963 | Real Sociedad (La Liga): 0.917,640,0,0,0
Jacob Shaffelburg,Canada,Toronto,Outside Top 5,,0.6067,0.0,12.13,12.13,RB Leipzig (Bundesliga): 0.963 | Real Sociedad (La Liga): 0.917,640,0,0,0
Dayne St Clair,Canada,Inter Miami,Outside Top 5,,0.6067,0.0,12.13,12.13,RB Leipzig (Bundesliga): 0.963 | Real Sociedad (La Liga): 0.917,640,0,0,0
Nathan Saliba,Canada,Anderlecht,Outside Top 5,,0.6067,0.0,12.13,12.13,RB Leipzig (Bundesliga): 0.963 | Real Sociedad (La Liga): 0.917,640,0,0,0
Ali Ahmed,Canada,Norwich City,Outside Top 5,,0.6067,0.0,12.13,12.13,RB Leipzig (Bundesliga): 0.963 | Real Sociedad (La Liga): 0.917,640,0,0,0
Alistair Johnston,Canada,Celtic,Outside Top 5,,0.6067,0.0,12.13,12.13,RB Leipzig (Bundesliga): 0.963 | Real Sociedad (La Liga): 0.917,640,0,0,0
Ilay Camara,Senegal,Anderlecht,Outside Top 5,,0.6067,0.0,12.13,12.13,Borussia Dortmund (Bundesliga): 0.958 | Atletico Madrid (La Liga): 0.952,640,0,0,0
Marcelo Flores,Canada,Tigres UANL,Outside Top 5,,0.6067,0.0,12.13,12.13,RB Leipzig (Bundesliga): 0.963 | Real Sociedad (La Liga): 0.917,640,0,0,0
Devlin,Australia,Heart of Midlothian,Outside Top 5,,0.6,0.0,12.0,12.0,VfB Stuttgart (Bundesliga): 0.924 | Atletico Madrid (La Liga): 0.892,662,0,0,0
Geria,Australia,Albirex Niigata,Outside Top 5,,0.6,0.0,12.0,12.0,VfB Stuttgart (Bundesliga): 0.924 | Atletico Madrid (La Liga): 0.892,662,0,0,0
O'Neill,Australia,New York City,Outside Top 5,,0.6,0.0,12.0,12.0,VfB Stuttgart (Bundesliga): 0.924 | Atletico Madrid (La Liga): 0.892,662,0,0,0
Trewin,Australia,New York City,Outside Top 5,,0.6,0.0,12.0,12.0,VfB Stuttgart (Bundesliga): 0.924 | Atletico Madrid (La Liga): 0.892,662,0,0,0
Herrington,Australia,Colorado Rapids,Outside Top 5,,0.6,0.0,12.0,12.0,VfB Stuttgart (Bundesliga): 0.924 | Atletico Madrid (La Liga): 0.892,662,0,0,0
Italiano,Australia,Grazer,Outside Top 5,,0.6,0.0,12.0,12.0,VfB Stuttgart (Bundesliga): 0.924 | Atletico Madrid (La Liga): 0.892,662,0,0,0
Hrustic,Australia,Heracles Almelo,Outside Top 5,,0.6,0.0,12.0,12.0,VfB Stuttgart (Bundesliga): 0.924 | Atletico Madrid (La Liga): 0.892,662,0,0,0
Beach,Australia,Melbourne City,Outside Top 5,,0.6,0.0,12.0,12.0,VfB Stuttgart (Bundesliga): 0.924 | Atletico Madrid (La Liga): 0.892,662,0,0,0
Irankunda,Australia,Watford,Outside Top 5,,0.6,0.0,12.0,12.0,VfB Stuttgart (Bundesliga): 0.924 | Atletico Madrid (La Liga): 0.892,662,0,0,0
Okon-Englster,Australia,Sydney,Outside Top 5,,0.6,0.0,12.0,12.0,VfB Stuttgart (Bundesliga): 0.924 | Atletico Madrid (La Liga): 0.892,662,0,0,0
Toure,Australia,Norwich City,Outside Top 5,,0.6,0.0,12.0,12.0,VfB Stuttgart (Bundesliga): 0.924 | Atletico Madrid (La Liga): 0.892,662,0,0,0
Yengi,Australia,Livingston/Machida Zelvia,Outside Top 5,,0.6,0.0,12.0,12.0,VfB Stuttgart (Bundesliga): 0.924 | Atletico Madrid (La Liga): 0.892,662,0,0,0
Mabil,Australia,Castellon,Outside Top 5,,0.6,0.0,12.0,12.0,VfB Stuttgart (Bundesliga): 0.924 | Atletico Madrid (La Liga): 0.892,662,0,0,0
Degenek,Australia,APOEL,Outside Top 5,,0.6,0.0,12.0,12.0,VfB Stuttgart (Bundesliga): 0.924 | Atletico Madrid (La Liga): 0.892,662,0,0,0
Leckie,Australia,Melbourne City,Outside Top 5,,0.6,0.0,12.0,12.0,VfB Stuttgart (Bundesliga): 0.924 | Atletico Madrid (La Liga): 0.892,662,0,0,0
Behich,Australia,Melbourne City,Outside Top 5,,0.6,0.0,12.0,12.0,VfB Stuttgart (Bundesliga): 0.924 | Atletico Madrid (La Liga): 0.892,662,0,0,0
Izzo,Australia,Randers,Outside Top 5,,0.6,0.0,12.0,12.0,VfB Stuttgart (Bundesliga): 0.924 | Atletico Madrid (La Liga): 0.892,662,0,0,0
Velupilly,Australia,Melbourne City,Outside Top 5,,0.6,0.0,12.0,12.0,VfB Stuttgart (Bundesliga): 0.924 | Atletico Madrid (La Liga): 0.892,662,0,0,0
Theo Hernandez,France,Al Hilal,Outside Top 5,,0.6,0.0,12.0,12.0,RB Leipzig (Bundesliga): 0.958 | Manchester City (PL): 0.953,662,0,0,0
Burgess,Australia,Swansea City,Outside Top 5,,0.6,0.0,12.0,12.0,VfB Stuttgart (Bundesliga): 0.924 | Atletico Madrid (La Liga): 0.892,662,0,0,0
Bos,Australia,Feyenoord,Outside Top 5,,0.6,0.0,12.0,12.0,VfB Stuttgart (Bundesliga): 0.924 | Atletico Madrid (La Liga): 0.892,662,0,0,0
N'Golo Kante,France,Fenerbahce,Outside Top 5,,0.6,0.0,12.0,12.0,RB Leipzig (Bundesliga): 0.958 | Manchester City (PL): 0.953,662,0,0,0
Jakhongir Urozov,Uzbekistan,Dinamo Samarqand,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Eldor Shomurodov,Uzbekistan,Istanbul Basaksehir,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Igor Sergeev,Uzbekistan,Persepolis,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Sherzod Nasrullaev,Uzbekistan,Nasaf,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Abbosbek Fayzullaev,Uzbekistan,Istanbul Basaksehir,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Dostonbek Khamdamov,Uzbekistan,Pakhtakor,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Jamshid Iskanderov,Uzbekistan,Neftchi,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Ivan Toney,England,Al-Ahli,Outside Top 5,,0.5933,0.0,11.87,11.87,Strasbourg (Ligue 1): 0.964 | Bayer Leverkusen (Bundesliga): 0.957,686,0,0,0
Umar Eshmurodov,Uzbekistan,Nasaf,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Avazbek Ulmasaliev,Uzbekistan,AGMK,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Otabek Shukurov,Uzbekistan,Baniyas,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Odiljon Hamrobekov,Uzbekistan,Tractor,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Jaloliddin Masharipov,Uzbekistan,Esteghlal,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Oston Urunov,Uzbekistan,Persepolis,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Akmal Mozgovoy,Uzbekistan,Pakhtakor,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Sherzod Esanov,Uzbekistan,Bukhara,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Azizjon Ganiev,Uzbekistan,Al Bataeh,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Utkir Yusupov,Uzbekistan,Navbahor,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Khojiakbar Alijonov,Uzbekistan,Pakhtakor,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Farrukh Sayfiev,Uzbekistan,Neftchi,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Azizbek Amonov,Uzbekistan,Bukhara,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Abdulla Abdullaev,Uzbekistan,Dibba,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Bekhruz Karimov,Uzbekistan,Surkhon,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Rustam Ashurmatov,Uzbekistan,Esteghlal,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Abduvohid Nematov,Uzbekistan,Nasaf,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Botirali Ergashev,Uzbekistan,Neftchi,Outside Top 5,,0.5933,0.0,11.87,11.87,Burnley (PL): 0.932 | Brest (Ligue 1): 0.932,686,0,0,0
Kristoffer Nordfeldt,Sweden,AIK,Outside Top 5,,0.5733,0.0,11.47,11.47,Real Sociedad (La Liga): 0.914 | VfB Stuttgart (Bundesliga): 0.908,717,0,0,0
Taha Ali,Sweden,Malmo,Outside Top 5,,0.5733,0.0,11.47,11.47,Real Sociedad (La Liga): 0.914 | VfB Stuttgart (Bundesliga): 0.908,717,0,0,0
Elliot Stroud,Sweden,Mjallby,Outside Top 5,,0.5733,0.0,11.47,11.47,Real Sociedad (La Liga): 0.914 | VfB Stuttgart (Bundesliga): 0.908,717,0,0,0
Besfort Zeneli,Sweden,Union St-Gilloise,Outside Top 5,,0.5733,0.0,11.47,11.47,Real Sociedad (La Liga): 0.914 | VfB Stuttgart (Bundesliga): 0.908,717,0,0,0
Ken Sema,Sweden,Pafos,Outside Top 5,,0.5733,0.0,11.47,11.47,Real Sociedad (La Liga): 0.914 | VfB Stuttgart (Bundesliga): 0.908,717,0,0,0
Gustaf Lagerbielke,Sweden,Braga,Outside Top 5,,0.5733,0.0,11.47,11.47,Real Sociedad (La Liga): 0.914 | VfB Stuttgart (Bundesliga): 0.908,717,0,0,0
Mohammed Al Owais,Saudi Arabia,Al Ula,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Nawaf Al Aqidi,Saudi Arabia,Al Nassr,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Ali Lajami,Saudi Arabia,Al Hilal,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Hassan Kadesh,Saudi Arabia,Al Ittihad,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Jehad Thikri,Saudi Arabia,Al Qadsiah,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Hassan Tambakti,Saudi Arabia,Al Hilal,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Ahmed Al Kassar,Saudi Arabia,Al Qadsiah,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Abdulelah Al Amri,Saudi Arabia,Al Nassr,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Nawaf Boushal,Saudi Arabia,Al Nassr,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Abdullah Al Hamdan,Saudi Arabia,Al Nassr,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Khalid Al Ghannam,Saudi Arabia,Al Ettifaq,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Ayman Yahya,Saudi Arabia,Al Nassr,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Firas Al Buraikan,Saudi Arabia,Al Ahli,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Mohammed Abu Al Shamat,Saudi Arabia,Al Qadsiah,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Saleh Al Shehri,Saudi Arabia,Al Ittihad,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Salem Al Dawsari,Saudi Arabia,Al Hilal,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Musab Al Juwayr,Saudi Arabia,Al Qadsiah,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Alaa Al Hajji,Saudi Arabia,Neom,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Sultan Al-Ghannam,Saudi Arabia,Al Nassr,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Mohammed Kanno,Saudi Arabia,Al Hilal,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Abdullah Al Khaibari,Saudi Arabia,Al Nassr,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Ziyad Al Johani,Saudi Arabia,Al Ahli,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Nasser Al Dawsari,Saudi Arabia,Al Hilal,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Ali Majrashi,Saudi Arabia,Al Ahli,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Moteb Al Harbi,Saudi Arabia,Al Hilal,Outside Top 5,,0.5733,0.0,11.47,11.47,Rennes (Ligue 1): 0.97 | RB Leipzig (Bundesliga): 0.96,717,0,0,0
Viktor Johansson,Sweden,Stoke City,Outside Top 5,,0.5733,0.0,11.47,11.47,Real Sociedad (La Liga): 0.914 | VfB Stuttgart (Bundesliga): 0.908,717,0,0,0
Benjamin Nygren,Sweden,Celtic,Outside Top 5,,0.5733,0.0,11.47,11.47,Real Sociedad (La Liga): 0.914 | VfB Stuttgart (Bundesliga): 0.908,717,0,0,0
Jacob Widell Zetterstrom,Sweden,Derby County,Outside Top 5,,0.5733,0.0,11.47,11.47,Real Sociedad (La Liga): 0.914 | VfB Stuttgart (Bundesliga): 0.908,717,0,0,0
Gustaf Nilsson,Sweden,Club Brugge,Outside Top 5,,0.5733,0.0,11.47,11.47,Real Sociedad (La Liga): 0.914 | VfB Stuttgart (Bundesliga): 0.908,717,0,0,0
David Doudera,Czechia,Slavia Prague,Outside Top 5,,0.5667,0.0,11.33,11.33,Brentford (PL): 0.977 | Torino (serie A): 0.971,744,0,0,0
David Zima,Czechia,Slavia Prague,Outside Top 5,,0.5667,0.0,11.33,11.33,Brentford (PL): 0.977 | Torino (serie A): 0.971,744,0,0,0
Vladimir Darida,Czechia,Hradec Kralove,Outside Top 5,,0.5667,0.0,11.33,11.33,Brentford (PL): 0.977 | Torino (serie A): 0.971,744,0,0,0
Lukas Hornicek,Czechia,Braga,Outside Top 5,,0.5667,0.0,11.33,11.33,Brentford (PL): 0.977 | Torino (serie A): 0.971,744,0,0,0
Mojmir Chytil,Czechia,Slavia Prague,Outside Top 5,,0.5667,0.0,11.33,11.33,Brentford (PL): 0.977 | Torino (serie A): 0.971,744,0,0,0
Jaroslav Zeleny,Czechia,Sparta Prague,Outside Top 5,,0.5667,0.0,11.33,11.33,Brentford (PL): 0.977 | Torino (serie A): 0.971,744,0,0,0
David Jurasek,Czechia,Slavia Prague,Outside Top 5,,0.5667,0.0,11.33,11.33,Brentford (PL): 0.977 | Torino (serie A): 0.971,744,0,0,0
Stepan Chaloupek,Czechia,Slavia Prague,Outside Top 5,,0.5667,0.0,11.33,11.33,Brentford (PL): 0.977 | Torino (serie A): 0.971,744,0,0,0
Tomas Holes,Czechia,Slavia Prague,Outside Top 5,,0.5667,0.0,11.33,11.33,Brentford (PL): 0.977 | Torino (serie A): 0.971,744,0,0,0
Denis Visinsky,Czechia,Viktoria Plzen,Outside Top 5,,0.5667,0.0,11.33,11.33,Brentford (PL): 0.977 | Torino (serie A): 0.971,744,0,0,0
Tomas Chory,Czechia,Slavia Prague,Outside Top 5,,0.5667,0.0,11.33,11.33,Brentford (PL): 0.977 | Torino (serie A): 0.971,744,0,0,0
Jan Kuchta,Czechia,Sparta Prague,Outside Top 5,,0.5667,0.0,11.33,11.33,Brentford (PL): 0.977 | Torino (serie A): 0.971,744,0,0,0
Hugo Sochurek,Czechia,Sparta Prague,Outside Top 5,,0.5667,0.0,11.33,11.33,Brentford (PL): 0.977 | Torino (serie A): 0.971,744,0,0,0
Jindrich Stanek,Czechia,Slavia Prague,Outside Top 5,,0.5667,0.0,11.33,11.33,Brentford (PL): 0.977 | Torino (serie A): 0.971,744,0,0,0
Matej Kovar,Czechia,PSV,Outside Top 5,,0.5667,0.0,11.33,11.33,Brentford (PL): 0.977 | Torino (serie A): 0.971,744,0,0,0
Alexandr Sojka,Czechia,Viktoria Plzen,Outside Top 5,,0.5667,0.0,11.33,11.33,Brentford (PL): 0.977 | Torino (serie A): 0.971,744,0,0,0
Lukas Cerv,Czechia,Viktoria Plzen,Outside Top 5,,0.5667,0.0,11.33,11.33,Brentford (PL): 0.977 | Torino (serie A): 0.971,744,0,0,0
Michal Sadilek,Czechia,Slavia Prague,Outside Top 5,,0.5667,0.0,11.33,11.33,Brentford (PL): 0.977 | Torino (serie A): 0.971,744,0,0,0
Lukas Provod,Czechia,Slavia Prague,Outside Top 5,,0.5667,0.0,11.33,11.33,Brentford (PL): 0.977 | Torino (serie A): 0.971,744,0,0,0
Alexandre Pierre,Haiti,Sochaux,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Duke Lacroix,Haiti,Colorado Springs,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Carl-Fred Sainthe,Haiti,El Paso Locomotive,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Jean-Jacques Danley,Haiti,Philadelphia Union,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Jean-Kevin Duverne,Haiti,KAA Gent,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Martin ExpÃÂ©rience,Haiti,Nancy,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Wilguens Pauguain,Haiti,Zulte Waregem,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Josue Duverger,Haiti,FC Cosmos Koblenz,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Derrick Etienne,Haiti,Toronto,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Dominique Simon,Haiti,Tatran Presov,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Lenny Joseph,Haiti,Ferencvaros,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Yassin Fortune,Haiti,Vizela,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Frantzdy Pierrot,Haiti,Caykur Rizespor,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Pierre Woodenski,Haiti,Violette,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Louicius Deedson,Haiti,Dallas,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Ruben Providence,Haiti,Almere City,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Nicolas Raskin,Belgium,Rangers,Outside Top 5,,0.56,0.0,11.2,11.2,Juventus (serie A): 0.976 | Liverpool (PL): 0.968,767,0,0,0
Joaquin Seys,Belgium,Club Brugge,Outside Top 5,,0.56,0.0,11.2,11.2,Juventus (serie A): 0.976 | Liverpool (PL): 0.968,767,0,0,0
Hans Vanaken,Belgium,Club Brugge,Outside Top 5,,0.56,0.0,11.2,11.2,Juventus (serie A): 0.976 | Liverpool (PL): 0.968,767,0,0,0
Brandon Mechele,Belgium,Club Brugge,Outside Top 5,,0.56,0.0,11.2,11.2,Juventus (serie A): 0.976 | Liverpool (PL): 0.968,767,0,0,0
Zeno Debast,Belgium,Sporting,Outside Top 5,,0.56,0.0,11.2,11.2,Juventus (serie A): 0.976 | Liverpool (PL): 0.968,767,0,0,0
Dodi Lukebakio,Belgium,Benfica,Outside Top 5,,0.56,0.0,11.2,11.2,Juventus (serie A): 0.976 | Liverpool (PL): 0.968,767,0,0,0
Keeto Thermoncy,Haiti,Young Boys,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Leverton Pierre,Haiti,Vizela,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Hannes Delcroix,Haiti,Lugano,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Duckens Nazon,Haiti,Esteghlal,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Ricardo Ade,Haiti,LDU Quito,Outside Top 5,,0.56,0.0,11.2,11.2,Real Sociedad (La Liga): 0.91 | RB Leipzig (Bundesliga): 0.903,767,0,0,0
Memphis Depay,Netherlands,Corinthians,Outside Top 5,,0.5533,0.0,11.07,11.07,Rennes (Ligue 1): 0.985 | Como (serie A): 0.974,783,0,0,0
Guus Til,Netherlands,PSV,Outside Top 5,,0.5533,0.0,11.07,11.07,Rennes (Ligue 1): 0.985 | Como (serie A): 0.974,783,0,0,0
Noah Lang,Netherlands,Galatasaray,Outside Top 5,,0.5533,0.0,11.07,11.07,Rennes (Ligue 1): 0.985 | Como (serie A): 0.974,783,0,0,0
Wout Weghorst,Netherlands,Ajax,Outside Top 5,,0.5533,0.0,11.07,11.07,Rennes (Ligue 1): 0.985 | Como (serie A): 0.974,783,0,0,0
Donyell Malen,Netherlands,AS Roma,Outside Top 5,,0.5533,0.0,11.07,11.07,Rennes (Ligue 1): 0.985 | Como (serie A): 0.974,783,0,0,0
Ali Olwan,Jordan,Al-Sailiya,Outside Top 5,,0.5467,0.0,10.93,10.93,Brest (Ligue 1): 0.928 | Sevilla (La Liga): 0.921,798,0,0,0
Mohannad Abu Taha,Jordan,Al-Quwa Al-Jawiya,Outside Top 5,,0.5467,0.0,10.93,10.93,Brest (Ligue 1): 0.928 | Sevilla (La Liga): 0.921,798,0,0,0
